Time,color,Sleep,Rest,Active,Walk,Run
05:43:39,"=""56,108,176""",0.660645,,,,
05:44:22,"=""56,108,176""",0.660645,,,,
05:45:13,"=""56,108,176""",0.660645,,,,
05:46:15,"=""56,108,176""",0.660645,,,,
05:47:16,"=""56,108,176""",0.660645,,,,
05:48:56,"=""56,108,176""",0.660645,,,,
05:49:34,"=""56,108,176""",0.660645,,,,
05:50:42,"=""56,108,176""",0.660645,,,,
05:51:48,"=""56,108,176""",0.660645,,,,
05:52:28,"=""56,108,176""",0.660645,,,,
05:53:33,"=""56,108,176""",0.660645,,,,
05:54:08,"=""56,108,176""",0.660645,,,,
05:55:57,"=""56,108,176""",0.660645,,,,
05:56:24,"=""56,108,176""",0.660645,,,,
05:57:56,"=""56,108,176""",0.660645,,,,
05:58:50,"=""56,108,176""",0.660645,,,,
05:59:09,"=""56,108,176""",0.660645,,,,
06:00:35,"=""56,108,176""",0.660645,,,,
06:01:21,"=""56,108,176""",0.660645,,,,
06:02:56,"=""56,108,176""",0.660645,,,,
06:03:58,"=""56,108,176""",0.660645,,,,
06:04:31,"=""56,108,176""",0.660645,,,,
06:05:14,"=""56,108,176""",0.660645,,,,
06:06:55,"=""56,108,176""",0.660645,,,,
06:07:11,"=""56,108,176""",0.660645,,,,
06:08:47,"=""56,108,176""",0.660645,,,,
06:09:29,"=""56,108,176""",0.660645,,,,
06:10:40,"=""56,108,176""",0.660645,,,,
06:11:55,"=""56,108,176""",0.660645,,,,
06:12:19,"=""56,108,176""",0.660645,,,,
06:13:20,"=""56,108,176""",0.660645,,,,
06:14:30,"=""56,108,176""",0.660645,,,,
06:15:47,"=""56,108,176""",0.660645,,,,
06:16:54,"=""56,108,176""",0.660645,,,,
06:17:07,"=""56,108,176""",0.660645,,,,
06:18:12,"=""56,108,176""",0.660645,,,,
06:19:51,"=""56,108,176""",0.660645,,,,
06:20:22,"=""56,108,176""",0.660645,,,,
06:21:43,"=""56,108,176""",0.660645,,,,
06:22:05,"=""56,108,176""",0.660645,,,,
06:23:42,"=""56,108,176""",0.660645,,,,
06:24:36,"=""56,108,176""",0.660645,,,,
06:25:41,"=""56,108,176""",0.660645,,,,
06:26:42,"=""56,108,176""",0.660645,,,,
06:27:56,"=""56,108,176""",0.660645,,,,
06:28:54,"=""56,108,176""",0.660645,,,,
06:29:38,"=""56,108,176""",0.660645,,,,
06:30:40,"=""56,108,176""",0.660645,,,,
06:31:29,"=""56,108,176""",0.660645,,,,
06:32:35,"=""56,108,176""",0.660645,,,,
06:33:56,"=""56,108,176""",0.660645,,,,
06:34:59,"=""56,108,176""",0.660645,,,,
06:35:49,"=""56,108,176""",0.660645,,,,
06:36:20,"=""56,108,176""",0.660645,,,,
06:37:46,"=""56,108,176""",0.660645,,,,
06:38:34,"=""56,108,176""",0.660645,,,,
06:39:13,"=""56,108,176""",0.660645,,,,
06:40:19,"=""56,108,176""",0.660645,,,,
06:41:57,"=""56,108,176""",0.660645,,,,
06:42:51,"=""56,108,176""",0.660645,,,,
06:43:30,"=""56,108,176""",0.660645,,,,
06:44:27,"=""56,108,176""",0.660645,,,,
06:45:33,"=""56,108,176""",0.660645,,,,
06:46:44,"=""56,108,176""",0.660645,,,,
06:47:26,"=""56,108,176""",0.660645,,,,
06:48:46,"=""56,108,176""",0.660645,,,,
06:49:39,"=""56,108,176""",0.660645,,,,
06:50:07,"=""56,108,176""",0.660645,,,,
06:51:48,"=""56,108,176""",0.660645,,,,
06:52:46,"=""56,108,176""",0.660645,,,,
06:53:25,"=""56,108,176""",0.660645,,,,
06:54:25,"=""56,108,176""",0.660645,,,,
06:55:48,"=""56,108,176""",0.660645,,,,
06:56:10,"=""56,108,176""",0.660645,,,,
06:57:28,"=""56,108,176""",0.660645,,,,
06:58:20,"=""56,108,176""",0.660645,,,,
06:59:28,"=""56,108,176""",0.660645,,,,
07:00:30,"=""56,108,176""",0.660645,,,,
07:01:34,"=""56,108,176""",0.660645,,,,
07:02:13,"=""56,108,176""",0.660645,,,,
07:03:52,"=""56,108,176""",0.660645,,,,
07:04:03,"=""56,108,176""",0.660645,,,,
07:05:20,"=""56,108,176""",0.660645,,,,
07:06:35,"=""56,108,176""",0.660645,,,,
07:07:23,"=""56,108,176""",0.660645,,,,
07:08:32,"=""56,108,176""",0.660645,,,,
07:09:16,"=""56,108,176""",0.660645,,,,
07:10:29,"=""56,108,176""",0.660645,,,,
07:11:54,"=""56,108,176""",0.660645,,,,
07:12:54,"=""56,108,176""",0.660645,,,,
07:13:07,"=""56,108,176""",0.660645,,,,
07:14:24,"=""56,108,176""",0.660645,,,,
07:15:48,"=""56,108,176""",0.660645,,,,
07:16:54,"=""56,108,176""",0.660645,,,,
07:17:46,"=""56,108,176""",0.660645,,,,
07:18:28,"=""56,108,176""",0.660645,,,,
07:19:25,"=""56,108,176""",0.660645,,,,
07:20:55,"=""56,108,176""",0.660645,,,,
07:21:03,"=""56,108,176""",0.660645,,,,
07:22:57,"=""56,108,176""",0.660645,,,,
07:23:51,"=""56,108,176""",0.660645,,,,
07:24:26,"=""56,108,176""",0.660645,,,,
07:25:05,"=""56,108,176""",0.660645,,,,
07:26:28,"=""56,108,176""",0.660645,,,,
07:27:10,"=""56,108,176""",0.660645,,,,
07:28:23,"=""56,108,176""",0.660645,,,,
07:29:24,"=""56,108,176""",0.660645,,,,
07:30:10,"=""56,108,176""",0.660645,,,,
07:31:26,"=""56,108,176""",0.660645,,,,
07:32:27,"=""56,108,176""",0.660645,,,,
07:33:07,"=""56,108,176""",0.660645,,,,
07:34:31,"=""56,108,176""",0.660645,,,,
07:35:37,"=""56,108,176""",0.660645,,,,
07:36:20,"=""56,108,176""",0.660645,,,,
07:37:20,"=""56,108,176""",0.660645,,,,
07:38:47,"=""56,108,176""",0.660645,,,,
07:39:01,"=""56,108,176""",0.660645,,,,
07:40:58,"=""56,108,176""",0.660645,,,,
07:41:26,"=""56,108,176""",0.660645,,,,
07:42:16,"=""56,108,176""",0.660645,,,,
07:43:32,"=""56,108,176""",0.660645,,,,
07:44:33,"=""56,108,176""",0.660645,,,,
07:45:18,"=""56,108,176""",0.660645,,,,
07:46:26,"=""56,108,176""",0.660645,,,,
07:47:35,"=""56,108,176""",0.660645,,,,
07:48:10,"=""56,108,176""",0.660645,,,,
07:49:33,"=""56,108,176""",0.660645,,,,
07:50:51,"=""56,108,176""",0.660645,,,,
07:51:14,"=""56,108,176""",0.660645,,,,
07:52:00,"=""56,108,176""",0.660645,,,,
07:53:45,"=""56,108,176""",0.660645,,,,
07:54:11,"=""56,108,176""",0.660645,,,,
07:55:08,"=""56,108,176""",0.660645,,,,
07:56:31,"=""56,108,176""",0.660645,,,,
07:57:23,"=""56,108,176""",0.660645,,,,
07:58:26,"=""56,108,176""",0.660645,,,,
07:59:59,"=""56,108,176""",0.660645,,,,
08:00:07,"=""56,108,176""",0.660645,,,,
08:01:32,"=""56,108,176""",0.660645,,,,
08:02:56,"=""56,108,176""",0.660645,,,,
08:03:38,"=""56,108,176""",0.660645,,,,
